OrderID,Revenue_Retention_Rate,Original_Price,Discount_Amount
OD1,0.88,1424.9999956566503,170.9999956566503
OD10,0.73,2458.904145727643,663.904145727643
OD100,0.74,1993.2432175553397,518.2432175553397
OD1000,0.77,971.4285766923583,223.42857669235832
OD1001,0.9,2623.333337676746,262.33333767674594
OD1002,0.66,1018.1818236989424,346.18182369894237
OD1003,0.88,928.4090880793327,111.40908807933272
OD1004,0.83,2577.108439287023,438.108439287023
OD1005,0.74,2970.27023199094,772.2702319909399
OD1006,0.81,2686.4197451791065,510.4197451791065
OD1007,0.81,1117.2839473286265,212.28394732862648
OD1008,0.77,2001.2987121429467,460.29871214294667
OD1009,0.66,3550.0000192360444,1207.0000192360444
OD101,0.65,3258.4615085816245,1140.4615085816245
OD1010,0.82,691.4634206655265,124.46342066552654
OD1011,0.85,2014.1176611824433,302.11766118244327
OD1012,0.82,2141.4634333133417,385.46343331334174
OD1013,0.7,1280.0000217982704,384.0000217982704
OD1014,0.65,964.6153757699143,337.6153757699143
OD1015,0.85,898.823535714595,134.82353571459498
OD1016,0.76,3219.7368193789284,772.7368193789284
OD1017,0.9,1308.888891055996,130.88889105599606
OD1018,0.77,1633.766242618966,375.7662426189661
OD1019,0.88,1619.318176882557,194.31817688255705
OD102,0.83,1839.7590401081272,312.75904010812724
OD1020,0.78,2421.7948680935842,532.7948680935842
OD1021,0.7,3422.8572011480537,1026.8572011480537
OD1022,0.88,1586.363631528456,190.36363152845593
OD1023,0.84,2133.333324250721,341.33332425072103
OD1024,0.68,1919.1176268726485,614.1176268726485
OD1025,0.74,2301.3513216927076,598.3513216927076
OD1026,0.73,2991.7808658881186,807.7808658881186
OD1027,0.79,912.6582202736031,191.6582202736031
OD1028,0.9,1710.0000028312206,171.00000283122063
OD1029,0.7,3558.5714891735397,1067.5714891735397
OD103,0.82,691.4634206655265,124.46342066552654
OD1030,0.79,1107.5949275165085,232.5949275165085
OD1031,0.69,1705.7971073433873,528.7971073433873
OD1032,0.7,1997.1428911539979,599.1428911539979
OD1033,0.67,2058.208995506477,679.2089955064771
OD1034,0.67,3316.417975355614,1094.417975355614
OD1035,0.79,1949.367072429055,409.36707242905504
OD1036,0.69,3294.2029099333213,1021.2029099333213
OD1037,0.8,2068.7500077066943,413.7500077066943
OD1038,0.67,901.4925549571516,297.4925549571516
OD1039,0.77,1458.4415663442758,335.44156634427577
OD104,0.73,1327.3972797827778,358.3972797827778
OD1040,0.67,771.6418061470984,254.64180614709835
OD1041,0.77,1654.5454635107812,380.54546351078125
OD1042,0.88,1606.8181769206567,192.8181769206567
OD1043,0.81,3056.7901144593143,580.7901144593143
OD1044,0.65,2255.3845947028617,789.3845947028617
OD1045,0.65,2779.999974507552,972.999974507552
OD1046,0.84,2378.571418444721,380.5714184447211
OD1047,0.74,1037.8378244627124,269.83782446271243
OD1048,0.75,972,243
OD1049,0.81,844.4444419588735,160.44444195887354
OD105,0.86,2674.4186065047415,374.41860650474155
